indiv_ID;d13C;d15N;Species_code
Arg-olf 31;-19.63;10.78;Arg-olf
Arg-olf 32;-19.98;10.39;Arg-olf
Arg-olf 33;-19.4;10.01;Arg-olf
Arg-olf 34;-19.78;10.23;Arg-olf
Arg-olf 35;-19.62;9.97;Arg-olf
Arg-olf 36;-19.76;10.43;Arg-olf
Arg-olf 37;-19.56;10.43;Arg-olf
Arg-olf 38;-19.93;9.8;Arg-olf
Ben-gla 1;-19.52;9.68;Ben-gla
Ben-gla 10;-19.2;9.61;Ben-gla
Ben-gla 11;-19.72;11.07;Ben-gla
Ben-gla 12;-19.56;10.32;Ben-gla
Ben-gla 13;-19.12;9.38;Ben-gla
Ben-gla 14;-19.12;9.06;Ben-gla
Ben-gla 15;-19.96;10.66;Ben-gla
Ben-gla 16;-19.61;9.91;Ben-gla
Ben-gla 17;-19.5;9.39;Ben-gla
Ben-gla 18;-19.57;10.37;Ben-gla
Ben-gla 19;-19.56;9.84;Ben-gla
Ben-gla 2;-19.54;10.21;Ben-gla
Ben-gla 20;-18.89;9.39;Ben-gla
Ben-gla 3;-19.7;10.35;Ben-gla
Ben-gla 4;-19.1;8.97;Ben-gla
Ben-gla 5;-19.74;8.82;Ben-gla
Ben-gla 6;-19.49;10.97;Ben-gla
Ben-gla 7;-19.98;10.3;Ben-gla
Ben-gla 8;-19.05;10.19;Ben-gla
Ben-gla 9;-19.32;9.67;Ben-gla
Lamp-cro 100;-20.01;9.84;Lamp-cro
Lamp-cro 81;-19.92;10.53;Lamp-cro
Lamp-cro 82;-20.31;10.25;Lamp-cro
Lamp-cro 83;-20.36;8.75;Lamp-cro
Lamp-cro 84;-20.27;9.62;Lamp-cro
Lamp-cro 85;-19.95;10.1;Lamp-cro
Lamp-cro 86;-20.28;10.18;Lamp-cro
Lamp-cro 87;-20.42;9.29;Lamp-cro
Lamp-cro 88;-20.17;11.17;Lamp-cro
Lamp-cro 89;-19.86;10.74;Lamp-cro
Lamp-cro 90;-19.69;10.28;Lamp-cro
Lamp-cro 91;-19.96;10.58;Lamp-cro
Lamp-cro 92;-19.34;10.47;Lamp-cro
Lamp-cro 93;-19.63;10.56;Lamp-cro
Lamp-cro 94;-20.02;10.53;Lamp-cro
Lamp-cro 95;-19.86;10.79;Lamp-cro
Lamp-cro 96;-19.16;10.78;Lamp-cro
Lamp-cro 97;-18.99;11.18;Lamp-cro
Lamp-cro 98;-19.25;10.87;Lamp-cro
Lamp-cro 99;-19.06;10.42;Lamp-cro
Mau-arg 1;-19.33;11.79;Mau-arg
Mau-arg 10;-19.73;12.11;Mau-arg
Mau-arg 11;-19.36;12.89;Mau-arg
Mau-arg 12;-19.66;11.73;Mau-arg
Mau-arg 13;-19.73;11.64;Mau-arg
Mau-arg 14;-19.72;11.53;Mau-arg
Mau-arg 2;-19.59;11.97;Mau-arg
Mau-arg 3;-19.27;11.79;Mau-arg
Mau-arg 4;-19.67;11.74;Mau-arg
Mau-arg 5;-19.86;12.08;Mau-arg
Mau-arg 6;-19.86;12.37;Mau-arg
Mau-arg 7;-19.71;12.52;Mau-arg
Mau-arg 8;-19.63;11.78;Mau-arg
Mau-arg 9;-19.8;12.26;Mau-arg
Ser-bea 17;-20.04;9.56;Ser-bea
Ser-bea 18;-20.29;8.88;Ser-bea
Ser-bea 19;-20.39;9.39;Ser-bea
Ser-bea 20;-19.59;10.59;Ser-bea
Ser-bea 21;-20.19;9.23;Ser-bea
Ser-bea 22;-20.36;8.89;Ser-bea
Ser-koeff 1;-19.31;11.5;Ser-koeff
Ser-koeff 10;-19.94;11.16;Ser-koeff
Ser-koeff 11;-20.07;11.81;Ser-koeff
Ser-koeff 12;-19.52;11.85;Ser-koeff
Ser-koeff 13;-20.11;12.13;Ser-koeff
Ser-koeff 14;-19.75;10.98;Ser-koeff
Ser-koeff 2;-18.59;13.47;Ser-koeff
Ser-koeff 3;-19.51;11.48;Ser-koeff
Ser-koeff 4;-19.57;12.55;Ser-koeff
Ser-koeff 5;-19.93;11.16;Ser-koeff
Ser-koeff 6;-19.91;11.7;Ser-koeff
Ser-koeff 7;-20.01;12.05;Ser-koeff
Ser-koeff 8;-18.91;12.06;Ser-koeff
Ser-koeff 9;-19.44;12.03;Ser-koeff
